eval,time_s,cur,best,M1,M2,M3
1,1.8930785655975342,0.0,0.0,0.0,0.0,0.0
5,1.9046275615692139,0.0,0.0,0.0,0.0,0.0
10,1.9046299457550049,0.0,0.0,0.0,0.0,0.0
15,1.9046318531036377,0.0,0.0,0.0,0.0,0.0
20,1.915428876876831,0.0,0.0,0.0,0.0,0.0
25,1.915431022644043,0.0,0.0,0.0,0.0,0.0
30,1.9154331684112549,0.0,0.0,0.0,0.0,0.0
35,1.926114797592163,0.0,0.0,0.0,0.0,0.0
40,1.926116943359375,0.0,0.0,0.0,0.0,0.0
45,1.926119089126587,0.0,0.0,0.0,0.0,0.0
50,1.9359180927276611,0.0,0.0,0.0,0.0,0.0
55,1.935920238494873,0.0,0.0,0.0,0.0,0.0
60,1.9359221458435059,0.0,0.0,0.0,0.0,0.0
65,1.9359235763549805,0.0,0.0,0.0,0.0,0.0
70,1.9464466571807861,0.0,0.0,0.0,0.0,0.0
75,1.946448802947998,0.0,0.0,0.0,0.0,0.0
80,1.9464507102966309,0.0,0.0,0.0,0.0,0.0
85,1.9570024013519287,0.0,0.0,0.0,0.0,0.0
90,1.9570047855377197,0.0,0.0,0.0,0.0,0.0
95,1.9570064544677734,0.0,0.0,0.0,0.0,0.0
100,1.9674553871154785,0.0,0.0,0.0,0.0,0.0
105,1.9674575328826904,0.0,0.0,0.0,0.0,0.0
110,1.9674592018127441,0.0,0.0,0.0,0.0,0.0
115,1.9778945446014404,0.0,0.0,0.0,0.0,0.0
120,1.9778969287872314,0.0,0.0,0.0,0.0,0.0
125,1.9778985977172852,0.0,0.0,0.0,0.0,0.0
130,1.9881112575531006,0.0,0.0,0.0,0.0,0.0
135,1.9881136417388916,0.0,0.0,0.0,0.0,0.0
140,1.9881153106689453,0.0,0.0,0.0,0.0,0.0
145,1.9881172180175781,0.0,0.0,0.0,0.0,0.0
150,1.9980757236480713,0.0,0.0,0.0,0.0,0.0
155,1.9980778694152832,0.0,0.0,0.0,0.0,0.0
160,1.998079776763916,0.0,0.0,0.0,0.0,0.0
165,2.0086915493011475,0.0,0.0,0.0,0.0,0.0
170,2.0086936950683594,0.0,0.0,0.0,0.0,0.0
175,2.008695363998413,0.0,0.0,0.0,0.0,0.0
180,2.018829584121704,0.0,0.0,0.0,0.0,0.0
185,2.018831491470337,0.0,0.0,0.0,0.0,0.0
190,2.0188333988189697,0.0,0.0,0.0,0.0,0.0
195,2.029460906982422,0.0,0.0,0.0,0.0,0.0
200,2.029463052749634,0.0,0.0,0.0,0.0,0.0
205,2.0294649600982666,0.0,0.0,0.0,0.0,0.0
210,2.0392510890960693,0.0,0.0,0.0,0.0,0.0
215,2.0392534732818604,0.0,0.0,0.0,0.0,0.0
220,2.039255142211914,0.0,0.0,0.0,0.0,0.0
225,2.0392568111419678,0.0,0.0,0.0,0.0,0.0
230,2.0490972995758057,0.0,0.0,0.0,0.0,0.0
235,2.0490994453430176,0.0,0.0,0.0,0.0,0.0
